name = who
year = 2011
yname = hgt
sex = male
distribution = LMS
citation = WHO
publication = http://www.who.int and supplement by Gerko Vink for WFA 10-19
[data]
x	L	M	S
0.5065	1	67.7491	0.03163
0.5092	1	67.8017	0.03162
0.512	1	67.8541	0.03161
0.5147	1	67.9062	0.0316
0.5175	1	67.9583	0.03159
0.5202	1	68.0101	0.03158
0.5229	1	68.0618	0.03157
0.5257	1	68.1133	0.03156
0.5284	1	68.1647	0.03155
0.5311	1	68.2158	0.03154
0.5339	1	68.2669	0.03153
0.5366	1	68.3177	0.03152
0.5394	1	68.3685	0.03152
0.5421	1	68.419	0.03151
0.5448	1	68.4695	0.0315
0.5476	1	68.5198	0.03149
0.5503	1	68.5699	0.03148
0.553	1	68.6199	0.03147
0.5558	1	68.6698	0.03147
0.5585	1	68.7195	0.03146
0.5613	1	68.7691	0.03145
0.564	1	68.8186	0.03144
0.5667	1	68.8679	0.03144
0.5695	1	68.9171	0.03143
0.5722	1	68.9662	0.03142
0.5749	1	69.0152	0.03141
0.5777	1	69.0641	0.03141
0.5804	1	69.1128	0.0314
0.5832	1	69.1615	0.03139
0.5859	1	69.21	0.03139
0.5886	1	69.2584	0.03138
0.5914	1	69.3067	0.03137
0.5941	1	69.3549	0.03137
0.5969	1	69.4031	0.03136
0.5996	1	69.4511	0.03136
0.6023	1	69.499	0.03135
0.6051	1	69.5468	0.03134
0.6078	1	69.5945	0.03134
0.6105	1	69.6421	0.03133
0.6133	1	69.6896	0.03133
0.616	1	69.737	0.03132
0.6188	1	69.7844	0.03132
0.6215	1	69.8316	0.03131
0.6242	1	69.8787	0.03131
0.627	1	69.9258	0.0313
0.6297	1	69.9728	0.0313
0.6324	1	70.0197	0.03129
0.6352	1	70.0665	0.03129
0.6379	1	70.1132	0.03128
0.6407	1	70.1599	0.03128
0.6434	1	70.2064	0.03127
0.6461	1	70.2529	0.03127
0.6489	1	70.2994	0.03126
0.6516	1	70.3457	0.03126
0.6543	1	70.392	0.03126
0.6571	1	70.4382	0.03125
0.6598	1	70.4843	0.03125
0.6626	1	70.5304	0.03125
0.6653	1	70.5764	0.03124
0.668	1	70.6224	0.03124
0.6708	1	70.6683	0.03123
0.6735	1	70.7141	0.03123
0.6762	1	70.7598	0.03123
0.679	1	70.8055	0.03122
0.6817	1	70.8511	0.03122
0.6845	1	70.8967	0.03122
0.6872	1	70.9422	0.03122
0.6899	1	70.9876	0.03121
0.6927	1	71.033	0.03121
0.6954	1	71.0783	0.03121
0.6982	1	71.1235	0.03121
0.7009	1	71.1687	0.0312
0.7036	1	71.2138	0.0312
0.7064	1	71.2589	0.0312
0.7091	1	71.3039	0.0312
0.7118	1	71.3488	0.03119
0.7146	1	71.3937	0.03119
0.7173	1	71.4385	0.03119
0.7201	1	71.4832	0.03119
0.7228	1	71.5279	0.03119
0.7255	1	71.5725	0.03118
0.7283	1	71.6171	0.03118
0.731	1	71.6616	0.03118
0.7337	1	71.706	0.03118
0.7365	1	71.7504	0.03118
0.7392	1	71.7947	0.03118
0.742	1	71.839	0.03118
0.7447	1	71.8832	0.03118
0.7474	1	71.9273	0.03117
0.7502	1	71.9714	0.03117
0.7529	1	72.0154	0.03117
0.7556	1	72.0594	0.03117
0.7584	1	72.1033	0.03117
0.7611	1	72.1472	0.03117
0.7639	1	72.1909	0.03117
0.7666	1	72.2347	0.03117
0.7693	1	72.2783	0.03117
0.7721	1	72.3219	0.03117
0.7748	1	72.3655	0.03117
0.7775	1	72.4089	0.03117
0.7803	1	72.4523	0.03117
0.783	1	72.4957	0.03117
0.7858	1	72.539	0.03117
0.7885	1	72.5822	0.03117
0.7912	1	72.6253	0.03117
0.794	1	72.6684	0.03117
0.7967	1	72.7115	0.03117
0.7995	1	72.7544	0.03117
0.8022	1	72.7974	0.03117
0.8049	1	72.8402	0.03117
0.8077	1	72.883	0.03117
0.8104	1	72.9257	0.03117
0.8131	1	72.9684	0.03117
0.8159	1	73.011	0.03117
0.8186	1	73.0535	0.03118
0.8214	1	73.096	0.03118
0.8241	1	73.1384	0.03118
0.8268	1	73.1808	0.03118
0.8296	1	73.2231	0.03118
0.8323	1	73.2653	0.03118
0.835	1	73.3075	0.03118
0.8378	1	73.3497	0.03118
0.8405	1	73.3917	0.03119
0.8433	1	73.4337	0.03119
0.846	1	73.4757	0.03119
0.8487	1	73.5176	0.03119
0.8515	1	73.5594	0.03119
0.8542	1	73.6012	0.03119
